Date,Open,High,Low,Close,Adj Close,Volume
2015-08-28,121.019997,121.610001,120.330002,120.769997,104.569771,285800
2015-08-31,119.129997,119.260002,118.190002,118.379997,102.500366,243000
2015-09-01,115.580002,115.930000,114.080002,114.339996,99.002296,426000
2015-09-02,117.250000,117.690002,116.209999,117.620003,101.842316,266100
2015-09-03,120.190002,120.440002,119.339996,119.610001,103.565369,352100
2015-09-04,116.680000,116.900002,115.839996,116.500000,100.872559,262200
2015-09-08,120.199997,121.339996,120.129997,121.239998,104.976730,398400
2015-09-09,123.260002,123.410004,120.440002,120.620003,104.439903,1331300
2015-09-10,118.959999,118.959999,117.400002,117.940002,102.119408,2073300
2015-09-11,116.489998,117.099998,115.889999,117.099998,101.392075,531200
2015-09-14,116.730003,117.059998,116.000000,116.349998,100.742676,351200
2015-09-15,119.059998,120.129997,118.690002,119.959999,103.868431,442200
2015-09-16,121.809998,122.330002,121.540001,122.000000,105.634781,439600
2015-09-17,121.029999,122.820000,120.870003,121.239998,104.976730,243300
2015-09-18,119.370003,120.110001,118.709999,118.820000,102.881363,250300
2015-09-21,119.589996,120.019997,118.690002,119.430000,103.409531,173800
2015-09-22,117.680000,117.879997,116.010002,117.580002,101.807686,372700
2015-09-23,117.309998,117.739998,116.610001,117.510002,101.747063,231300
2015-09-24,117.519997,117.739998,116.000000,117.550003,101.781723,535800
2015-09-25,119.279999,119.989998,118.160004,118.510002,102.612938,292400
2015-09-28,117.559998,117.570000,114.730003,115.220001,101.153839,311700
2015-09-29,113.980003,114.480003,113.160004,114.250000,100.302254,345800
2015-09-30,116.239998,117.400002,116.099998,117.279999,102.962349,235100
2015-10-01,118.489998,118.870003,117.230003,118.339996,103.892944,278000
2015-10-02,119.309998,120.820000,118.580002,120.730003,105.991165,557000
2015-10-05,121.790001,122.910004,121.760002,122.320000,107.387070,338300
2015-10-06,120.919998,121.260002,120.370003,120.919998,106.157974,350100
2015-10-07,122.540001,123.190002,122.190002,122.709999,107.729446,240700
2015-10-08,122.779999,123.709999,122.110001,123.480003,108.405441,254200
2015-10-09,123.980003,124.589996,122.330002,122.599998,107.632881,398800
2015-10-12,122.750000,123.440002,122.589996,123.110001,108.080612,314500
2015-10-13,121.489998,121.949997,120.860001,121.070000,106.289665,341400
